name,city,rate,introduction
湖南省立第一师范学校旧址,湖南省长沙市,,毛主席的母校
刘少奇故居 ,湖南省长沙市,,陈列着刘少奇生前的物品
岳麓山,湖南省长沙市,5A,一座岳麓山，半部湖南史
彭德怀纪念馆,湖南省湘潭市,,赏江南农舍，瞻仰革命先烈
平江起义旧址,湖南省岳阳市,,
罗荣桓故居,湖南省衡东县,4A,介绍罗荣桓光辉一生，展出珍贵文献、照片
胡耀邦故居,湖南省浏阳市,4A,清朝典型的农家建筑风格
广州起义烈士陵园,广东省广州市,4A,用四季鲜花，松柏长青，纪念起义的烈士
叶剑英纪念园,广东省梅州市,4A,缅怀元帅丰功伟绩，激励后人继续奋进
叶挺纪念馆,广东省惠州市,4A,呈现叶挺将军的丰功伟绩
莲花山公园,广东省深圳市,,登山休闲俯瞰城景
鸦片战争博物馆,广东省东莞市,4A,鸦片战争时期的历史见证
梅关古道,广东省韶关市,4A,梅花树遍布的古驿道
八路军桂林办事处旧址,广西省桂林市,,由叶剑英先生题写的馆名
红军长征突破湘江烈士纪念碑园,广西省桂林市,4A,
金田起义旧址,广西省贵港市,4A,了解起义的历史
红色娘子军纪念园,海南省琼海市,,瞻仰巾帼英雄的教育基地
母瑞山革命根据地纪念园 ,海南省定安县,,被誉为琼崖革命的摇篮
红岩革命纪念馆,重庆市渝中区,,红军曾经战斗过的地方
抗战遗址博物馆,重庆市南岸区,4A,综合性抗战遗址博物馆景区
邱少云纪念馆,重庆市铜梁县,2A,绿草碧树，纪念碑鲜艳夺目，馆内文物珍贵
邓小平故居陈列馆 ,四川省广安城北,,纪念邓小平为专题的博物馆
红四方面军总指挥部旧址纪念馆 ,四川省巴中市,,了解史实和将帅们做的贡献
赵一曼纪念馆 ,四川省宜宾市,,红色旅游 党史学习教育
5·12汶川特大地震映秀震中纪念馆 ,四川省阿坝藏族自治州,,
西昌卫星发射基地,四川省西昌市,3A,感受火箭发射时的宏伟景象
息烽集中营纪念馆,贵州省贵阳市,4A,曾关押杨虎城的秘密监狱
遵义会议纪念馆,贵州省遵义市,,
王若飞故居 ,贵州省安顺市,,了解王若飞同志的光辉事迹
二十四道拐,贵州省晴隆县,4A,蜿蜒盘旋一共24道弯
八路军西安办事处纪念馆,陕西省西安市,,
西安事变纪念馆 ,陕西省西安市,,“西安事变”的发生地
延安革命纪念馆,陕西省延安市,5A,展现了延安的革命发展历程
枣园革命旧址,陕西省延安市,5A,曾经的中共中央所在地
杨家岭革命旧址,陕西省延安市,5A,党的“七大”会议旧址
凤凰山麓革命旧址,陕西省延安市,3A,中共中央到延安后的驻地
洛川会议旧址 ,陕西省延安市,,会址为两孔砖窑
宝塔山,陕西省延安市,5A,登塔顶俯瞰延安全貌
延安桥儿沟革命旧址 ,陕西省延安市,,全国重点文物保护单位
马栏革命旧址,陕西省咸阳市,4A,革命干部的红色摇篮地
吴起镇革命旧址 ,陕西省延安市,,胜利地结束了中央红军的长征
凤凰山麓革命旧址,陕西省延安市,3A,中共中央到延安后的驻地
瓦窑堡革命旧址,陕西省延安市,,参观游览革命旧址，感受当年革命氛围
南泥湾革命旧址,陕西省延安市,,参观当年开垦的大片梯田
中共中央西北局旧址,延安市城区南,5A,陈列展览馆看延安旧史
中国人民抗日军政大学旧址,陕西省延安市,,
陕甘边照金革命根据地旧址,陕西省铜川市,,在革命根据地照金旧址感受“照金精神”
渭华起义纪念馆,陕西省渭南市,4A,红色旅游景区
杨家沟革命纪念馆,陕西省榆林市,,实为中华民族窑洞建筑之瑰宝
扶眉战役纪念馆,陕西省宝鸡市,3A,爱国主义教育基地和国防教育基地
宗山遗址,西藏自治区日喀则市,,建筑高大宏伟，居高临下，气势壮丽
古浪战役纪念馆,甘肃省武威市,2A,为省级党史教育基地、爱国主义基地
